data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
CPS3,0,30,12,0,0,1,0,20166.73,18347.23,25564.67
CPS3,0,26,12,0,0,1,0,25862.32,17806.551,25564.67
CPS3,0,25,16,0,0,1,0,25862.32,15316.21,25564.67
CPS3,0,42,11,0,0,1,1,21787.051,14265.29,15491.01
CPS3,0,25,9,1,0,1,1,14829.69,13776.53,0
CPS3,0,37,9,1,0,1,1,13685.48,12756.05,17833.199
CPS3,0,32,12,0,0,1,0,19067.58,12625.35,14146.28
CPS3,0,20,12,1,0,0,0,7392.314,12396.19,17765.23
CPS3,0,38,9,0,1,1,1,16826.18,12029.18,0
CPS3,0,39,10,0,0,1,1,16767.41,12022.02,4433.1802
CPS3,0,41,5,0,0,1,1,10785.76,11991.58,19451.311
CPS3,0,31,14,0,0,1,0,17831.289,11563.69,22094.971
CPS3,0,34,8,0,0,1,1,8038.8721,11404.35,5486.7988
CPS3,0,29,12,0,0,1,0,14768.95,11146.55,6420.7222
CPS3,0,22,14,1,0,1,0,748.43988,11105.37,18208.551
CPS3,0,42,0,0,1,1,1,2797.833,10929.92,9922.9336
CPS3,0,25,9,0,1,0,1,5460.4771,10589.76,7539.3608
CPS3,0,28,9,0,0,1,1,11091.41,10357.02,15406.78
CPS3,0,40,13,0,0,1,0,3577.6211,10301.52,11911.95
CPS3,0,35,9,0,0,1,1,11475.43,9397.4033,11087.38
CPS3,0,27,10,0,1,1,1,15711.36,9098.4189,17023.41
CPS3,0,27,6,0,1,1,1,7831.189,9071.5654,5661.1709
CPS3,0,36,12,0,0,1,0,25535.119,8695.5967,21905.82
CPS3,0,47,8,1,0,1,1,9275.1689,8543.4189,0
CPS3,0,40,11,0,0,1,1,20666.35,8502.2422,25564.67
CPS3,0,27,7,0,0,1,1,3064.293,8461.0654,11149.45
CPS3,0,36,9,1,0,1,1,13256.4,8457.4844,0
CPS3,0,39,6,0,1,1,1,13279.91,8441.3711,25048.939
CPS3,0,21,9,0,0,1,1,11156.07,8441.3711,1213.214
CPS3,0,29,12,0,0,1,0,11199.17,8081.5161,0
CPS3,0,22,13,0,1,0,0,6404.8428,7882.79,9453.0166
CPS3,0,25,10,0,0,1,1,13634.54,7793.2739,11688.82
CPS3,0,27,12,0,0,1,0,12270.89,7709.1289,7806.8291
CPS3,0,45,8,0,0,1,1,22415.971,7635.7261,15931.37
CPS3,0,26,12,0,0,1,0,2345.2419,7565.9028,2838.7129
CPS3,0,27,12,0,0,1,0,9788.4971,7496.0811,14038.4
CPS3,0,33,8,0,0,1,1,12312.03,7474.5972,25514.43
CPS3,0,25,12,0,0,1,0,11381.38,7467.4351,4162.7559
CPS3,0,49,8,0,0,1,1,6459.7031,7431.6289,7503.896
CPS3,0,40,3,0,1,1,1,7576.4849,7426.2578,12104.06
CPS3,0,22,12,1,0,1,0,9729.7188,7372.5479,2231.3669
CPS3,0,25,5,0,0,1,1,7891.9268,7293.7739,14617.67
CPS3,0,25,12,0,0,1,0,11516.57,7263.3389,19588.74
CPS3,0,21,12,0,0,1,0,13601.23,7202.4678,10746.03
CPS3,0,33,9,0,1,1,1,11959.36,7087.8872,25564.67
CPS3,0,20,12,1,0,1,0,9555.3438,7055.6611,0
CPS3,0,19,11,0,0,1,1,4306.4678,6978.6768,837.87097
CPS3,0,25,12,1,0,1,0,295.8493,6942.8711,461.05069
CPS3,0,29,12,0,0,1,0,15303.83,6932.1289,24290.869
CPS3,0,20,12,0,0,1,0,3558.0291,6797.855,6680.8018
CPS3,0,29,6,0,1,1,1,8542.4033,6701.1768,7196.5278
CPS3,0,25,13,0,0,1,0,19259.59,6652.8389,13015.82
CPS3,0,41,15,0,0,1,0,25862.32,6563.3232,24647
CPS3,0,39,10,0,0,1,1,22745.131,6493.5,25564.67
CPS3,0,33,12,0,0,1,0,10819.07,6369.9678,2936.2429
CPS3,0,29,8,0,0,1,1,9169.3691,6352.0649,20575.859
CPS3,0,21,11,0,0,1,1,10679.96,6276.8711,10923.35
CPS3,0,31,12,0,0,1,0,23652.27,6228.5322,22403.811
CPS3,0,36,12,1,0,1,0,11040.47,6221.3711,7215.7388
CPS3,0,25,7,0,0,1,1,5597.625,6099.6289,122.6513
CPS3,0,35,7,0,0,1,1,10715.23,6087.0972,15177.73
CPS3,0,22,9,0,0,1,1,5683.833,6038.7578,4742.0249
CPS3,0,31,2,0,1,1,1,3262.179,5965.355,9732.3066
CPS3,0,40,15,0,0,1,0,10907.24,5922.3872,6238.9619
CPS3,0,47,3,0,0,1,1,9047.8936,5911.645,6145.8652
CPS3,0,26,8,0,1,0,1,3168.134,5872.2578,11136.15
CPS3,0,42,7,0,0,1,1,10971.89,5806.0161,9241.7021
CPS3,0,53,12,0,0,0,0,17104.4,5775.5811,19965.561
CPS3,0,30,17,1,0,0,0,17827.369,5546.4189,14421.13
CPS3,0,28,10,0,0,1,1,10415.46,5544.6289,10289.41
CPS3,0,46,11,0,0,1,1,14753.28,5299.355,0
